年份,甲,名,姓名,省,府,州县,坐标,longitude,latitude
1658,3,210,伍亶直,广西,桂林府,全州,"111.072928,25.928707",111.072928,25.928707
1661,3,17,吴轸,广西,梧州府,容县,"110.557868,22.857756",110.557868,22.857756
1664,3,98,李棠,广西,桂林府,临桂县,"110.290131,25.273444",110.290131,25.273444
1664,3,130,戴朱纮,广西,柳州府,马平县,"109.410735,24.315408",109.410735,24.315408
1664,3,156,袁景星,广西,平乐府,平乐县,"110.643305,24.633362",110.643305,24.633362
1667,3,109,曹云路,广西,桂林府,全州,"111.072938,25.928717",111.072938,25.928717
1670,3,90,廖必强,广西,桂林府,全州,"111.072948,25.928727",111.072948,25.928727
1670,3,155,李彬,广西,浔州府,贵县,"109.572240,23.111434",109.57224,23.111434
1673,3,13,黄裳吉,广西,桂林府,临桂县,"110.290141,25.273454",110.290141,25.273454
1673,3,70,张汝贤,广西,庆远府,天河县,"108.696116,24.777391",108.696116,24.777391
1685,3,35,郊咸齐,广西,桂林府,全州,"111.072958,25.928737",111.072958,25.928737
1694,3,10,陈允恭,广西,平乐府,平乐县,"110.643315,24.633372",110.643315,24.633372
1700,3,84,陈廷纶,广西,平乐府,平乐县,"110.643325,24.633382",110.643325,24.633382
1700,3,228,陈若沂,广西,桂林府,临桂县,"110.290151,25.273464",110.290151,25.273464
1703,3,72,蒋肇,广西,桂林府,永宁州,"109.771556,25.156051",109.771556,25.156051
1706,3,177,蒋纲,广西,桂林府,全州,"111.072968,25.928747",111.072968,25.928747
1706,3,207,梁兆吉,广西,南宁府,新宁州,"107.904206,22.634882",107.904206,22.634882
1709,3,219,邓葵友,广西,桂林府,全州,"111.072978,25.928757",111.072978,25.928757
1709,3,226,郢佳植,广西,桂林府,全州,"111.072988,25.928767",111.072988,25.928767
1712,3,88,谢济世,广西,桂林府,全州,"111.072998,25.928777",111.072998,25.928777
1712,3,104,李祖望,广西,平乐府,恭城县,"110.828382,24.831391",110.828382,24.831391
1713,2,18,蒋洽秀,广西,桂林府,永宁州,"109.771566,25.156061",109.771566,25.156061
1713,3,79,文大漳,广西,桂林府,灌阳县,"111.160751,25.489362",111.160751,25.489362
1713,3,111,蒋如松,广西,桂林府,全州,"111.073008,25.928787",111.073008,25.928787
1715,3,49,蒋林,广西,桂林府,全州,"111.073018,25.928797",111.073018,25.928797
